,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,Paramount Theatre,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ
1/1,,,,,,,,,,,,,,,,,,,,,,,,,
1/2,,,,,,Worakls 9PM,,,,Angel Band | Ryan Wong | Fishlegs | Elaine | Nimona 7PM,Trouble No More w/ Easy Jim (Ballroom) + Proving Ground w/ Universal Sound (Other Side) 7PM,,,Solar Flare Sunset | Gritch | Ryan Mecillas | Hollow Head 7PM,,,Switchman Sleepin' | Amoeba Swing 8PM,,,Temple Of Asteria | Royale With Cheese | The Terra Surfers 7PM,Ennote | Thebusiness. | Other Brothers | 4th Kind 8PM,,Slim Hollow FukkPunk | Lonelyst4r | Mildew | 6ixleen | A$HE$ 7PM,OZZFest At The Federal 7:30PM,Jambrick | Los Tres Cajones | Josh Walker Band 7PM
1/3,,,Nora En Pure 8PM,,,Photon + Rado 8PM,,,Dead Pioneers | The Potato Pirates | Team Nonexistent 8PM,,Trouble No More w/ Easy Jim (Ballroom) + Proving Ground w/ Drew Dvorchak (Other Side) 7PM,,,"Emily Kooi w/ Monkey Man, Ripcords + The Peasantry 7PM",Pickin' On The Dead w/ Tonewood String Band 8PM,,,Boy HIts Car | Get The Axe | Cull the Herd 7PM,,Ephinjis | Noise Resort | Mr Knobs | All Through The Night 7PM,Mass Relay | Mlrtyme | Sleazy Lettuce | Hericane b2b Desacore | Zipz 7PM,An Evening with Rush Archives 7:30PM,Pray Burner | Hopebound | Gamma Paw 8PM,,Straphangin' | Sweet Wyne | Morpheus Dreaming 7PM
1/4,,,,,,,,,,,LG Nite USA ft. Nabin K. Bhattarai & The Atripta 6PM,,National Wire | Owosso | Theater | The Thrill Pills 4PM,Claypot Pigeons | Flail | Best Of Both Worlds | Carly's Basement 4PM,,,,,,,Highland Echo | Folded Face | Static Heads 4Pm,,,,
1/5,,Dean Lewis w/ Matt Hansen 7:30PM,,,,,,,,,,,,,,,,,,,,,,,
1/6,,,,,,,,,,,,LaRussell 5PM,,BJ Baram (of American Aquarium) 7PM,,,,,,,,,,,
1/7,,,,,,,,,,,,,,,,,,,,,,,Jukebox Hardknocks | Joe Teichman (Free) 7:30PM,,
1/8,,,,,,,,,,Victim of Fire | Cronos Compulsion | Aleister Cowboy | Pedestal For Leviathan 7PM,,Shift ft. Blookah | Philia | Jawnsin | Gibbs 8PM,Kliptic | Kozmoz | Joppa | Plague Flora | Weavus 7PM,Dotakili | Free Milk | Mossgatherers 7PM,Phyphr | 5AM Trio | McWavy 8PM,,Friendly Reminders | Poudre Valley Playboys | Nolen & Friends 8PM,,,,Nanobliss | Play Wr!tes | Brink 7PM,,Helga Pataki | Moss Frequency | A$HE$ 7:30PM,,
1/9,,Shlump | Shanghai Doom | DirtySnatcha | Chozen 8PM,Charley Crockett 8PM,,One More Time: A Tribute to Daft Punk | Erin Stereo 7PM,Wild Love Tigress / Graham Good & The Painters 9PM,,,,Warper | Precocious Neophyte | Blackberry Crush 8PM,Yonder Mountain String Band w/ Kyle Tuttle Band 7PM,Mr. Specific | Big Shrimp | MoonRadish 7PM,Avilo | Housewife | Garry Grooves | HiiJack 9PM,Cousin Curtiss w/ Crow Cavalier | Nolen & Friends 7PM,Scott Nice | Tone Ranger | Milk 9PM,Face Vocal Band 7:30PM,Shovelin Stone | The Unweildies | Christine Alice 8PM,Free Marcos Benefit Show: Anaidea | Lucked Out | Playn for Keeps | Bangalore 6PM,,,Riley J Band | Nu Bass Theory | Desiderata | Keddjra 7PM,An Evening With Black Flag 8PM,The Stephen Lear Band | Gangstead | Pax Smile 8PM,Mike Maurer Band | Jubilingo 8PM,No Name | No Future | It's Always Sunny In Tijuana | Bleed The Vain 7PM
1/10,,Neal Francis | Manycolors 8PM,Charley Crockett 8PM,Bone Thugs-N-Harmony | Top Flite Empire | Dank 1  | Hazy OBE 7PM,One More Time: A Tribute to Daft Punk | Erin Stereo 7PM,Bear Grillz 9PM,,Spoil The Moment | Disastry | athousandangelsandseven | Moy Rustang | White Oak Doors 6:30PM,Early Ones Only 5:30PM,Night Fishing | Nativity In Black | Tainted Blade | Halo of Lightning 7PM,Yonder Mountain String Band w/ Kyle Tuttle Band 7PM,"Lit Society ft. Dominic Lalli (Big Gigantic), Borahm Lee (Pretty Lights), Lyle Divinsky and more & Isaac Sinclair Wayback 7PM",Liquid Suede | Key Of D | DJ Trapfel 4PM,Altaphonic | Sid WIlliamson and The GOod Faith | Caleb Koch 7PM,Bitchflower | Liquid Chicken | BlurredRadio | Gush 8PM,,The Droptines | The Takes | Ben Garcia 8PM,Black Flag 7PM,,Dammit Jim | Lights In The Sky | Flashes Red | Amanda Hawkins& Barre Chord Bangers | Teflon Dons 7PM,2MX2 | Bailey Elora | Jon Rubio | JD The M.C 7PM,"Dreamboat Annie: A tribute to Heart, Led Zepplin and Journey 7:30Pm",The Pretty Shabbies | The Futons | Watch Yourself Die 7PM,In Plain Air | Radio Fluke | The Crooked Rugs | Interpretative Tyranny 6:30PM,Suitable Miss | Thrillrot | adolla | Volatile 7PM
