,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Taven,Ante Up
6/1,Kesha | Chromeo | Sizzy Rocket 7PM,,,,,,,,,,,Arankai | buffalo_farm | Long/Last 6PM,,,**SOLD OUT** Wooden Wisdom Ft. Elijah Wood & Zach Cowie 7PM,,,,,,,,,Accessory | Facing | Manny. moved to Goosetown Tavern 7PM,,,,,,,,,,,Accessory (Jason Balla of Dehd) w/ Facing + Manny. 7PM,
6/2,Alex Warren | Nat & Alex Wollf 7:30PM,,,,,,The Last Dinner Party w/ Automatic 8PM,Spite | Psycho-Frame | Emmure | Rev3rent 6PM,,Graham | Luke Rob 8PM,,,,Lip Critic | Flatwounds | Bejalvin | Public Opinion 7PM,,,,Sewerperson | Polearm | Yung Kell 7PM,,Between the Buried and me | Imperial Triumphant | Fallujah 7PM,Alpha Wolf | Gideon | Mugshot | Resolve 8PM,,,,,,,,,,Noah G. Fowler & Jack Holland 7PM,,,,,
6/3,Yo-Yo Ma w/ The Co Symphony 7:30PM,,Alex Warren 5Pm,,,,Wale | Smino 8PM,,Leanna Firestone | Abby Cates 7PM,,,White Denim | Arc Iris 7PM,,,,,,,,,,Alpha Wolf 6PM,Gozu | Restless Spirit | Boozifer 7PM,,"Ladytron ""Paradises"" 8PM",,,,,,THe Pretty Shabbies | Mojohand | Satellite Friend 5:30PM,Learnmore Jonasi - Stand Up Comedy 7Pm,,,,
6/4,"Brit Floyd- ""The Wall"" 8PM",,,,,,,,,Los Mirlos | Don Chicharron 8PM,,Pradabagshawty 7PM,,Yugs | Manny | The Whimsies 7PM,Burning Spear | Jesse Royal 7PM,Bronwyn Keith-Hynes w/ Handmade Moments 7PM,MGNA CRRRTA | Tommy Fleece | VAE 7PM,Avery Lynch | Julia Campbell 7PM,,,,Spineshank | Hed PE | Primer 55 | Oceans on Other Planets | As We Rise  7PM,,Flow Wolf | Chuck | Soothed719 7PM,,Boot Juice 8PM,,,,,,,,,,
6/5,"Brit Floyd- ""Dark Side Of The Moon"" 8PM",,Yo-Yo Ma w/ The Colorado Symphony 6PM,,,Toadies | Local H | Sparta 8PM,,,,JAMØ | Crisco 9PM,,Troy Doherty 7PM,,Moon Owl's Mages | Los Toms | Rugburn 8PM,Daniel Allan | Informal. | Pure Colors 8PM,"Eric Krasno & Friends ft. Nikki Glaspie, Adam MacDougall, Ross James w/ Shuga T 7PM",By Storm (FKA Injury Reserve) w/ Lerado Khalil 4PM,Young and Dead w/ Josy Rosales’ Old & In The Way Tribute 7PM,,Burning Spear | Jesse Royal 8PM,,Adelitas Way | Aranda | Letters From The Sun 7PM,,Trestles x The Dirty Turkeys | Five MInutes Out 7PM,,Graveyard Choir | The Milk Blossoms | White Rose Motor Oil 7PM,Spineshank | Hed Pe | Primer 55 | Oceans On Other Planets 7PM,,,,The Stephen Lear Band / The Street Deacons | The Ephinjis 9PM,Emerson Woolf & the Wishbones | Claire Heywood 8Pm,5th Annual Underground Pride,Pride Kick-of with Tiana Major9 | Dzirae Gold | Hex Kitten6PM,THe Lonely MTs | The Dead Yetis | Phase 30 8PM,Dreamsickle | Losing Connection | Disruptive Impulse | Sadie Solstice | Dumb Luck 7PM
6/6,Big Head Todd and The Monsters | 4 Non Blonds 7PM,,,,,,Beats Antique | Itchy-O | High Step Society | Carnivale De Sensual 6:30PM,Yot Club | Renny Conti 7PM,,Bob Schneider | The Honey Empire 8PM,,68 | Nate Bergman 7PM,Josiah and The Bonnevilles | Max Alan | Brenna Macmillan 8PM,Spells | Hooper | Lebaron 8PM,Kenny Mason | Feardorian 7PM,Juno What?! | Deadphish Orchestra 7PM,,Fresh Fruit! | Altaphonic | Marty Nation 7PM,,,,Bad COp Bad Cop | Cheap Perfume | Pretty bitter 6PM,Adelitas Way | Aranda | Wake Me 7PM,Ahjzae Dallas | Kylie Divine | Young Rai | Sauce K | Toussaintlorenz | Rarebyrd$ 7PM,,Owosso | LInes Of Drift | Church Van 8PM,"Tributes to The Allman Brothers, Bryan Adams & John Mellencamp w/ My Blue Sky | Lies or Lullabies 7Pm",,JOE JACKSON + BAND - HOPE AND FURY TOUR 2026 8PM,,I'm a Band | The Red Tack | and a Very Special Guest,The Orion Experience | Blytz | Johnny Majestic 8PM,5th Annual Underground Pride,Steph Strings | Patrick Dethlefs 6PM,Matt Pless | CHristopher Morse 8PM,Insipidus | Pseudocoma | Weeping Isopropyl 6PM
6/7,Trey Anastasio w/ CO Symphony 7:30PM,,,,,,,,Em Beihold | Janani K. Jha 7PM,The Slackers | Roka Hueka | The Alcapones 8PM,,,,Blood Club | Ulitsa Vostok | Devoratus 7PM,Shordie Shordie w/ Hoodtrophy Bino 7PM,,Folded Face | Donaven | Echo St. Clare 4PM,The Far Reaches w/ Arranovum + Ripcords 4PM,,,HR ( of Bad Brains) | Lion Heights | Smoke-Signals 8PM,,CD Ghost | Carrellee | Hex Cassette 7PM,Heffy | Allison Lorensen 7PM,The Elders 4:30PM,Chris Otepka | Jake Mckelvie | Caspar Milquetoast 7:30PM,,,,,,,5th Annual Underground Pride,Central City Opera Presents Drag me to the Opera 4PM,,
6/8,,,,,,"Kittie | Gore, 7:30PM",,septemberistheonlytimeidontthinkofyou | My Beloved | Disastry | An England Interview 6PM,,,,,,Deceits | 60 Juno | Night Ritualz | Deth Rali 7PM,,,,,,,,,,,,,,,,,,,,,,
6/9,Jimmy Eat World | Sunny Day Real Estate | The Up Kids 7PM,,,,,,,The Cab | CARR 6:30PM,Asgeir | Claire Heywood 7PM,Kings Kaleidoscope | Hollyn 8PM,,Pearl | Femme Fiction | Fin Fika 7PM,,Tsushimamire | The Tammy Shine | Autumnal 7PM,Aaron Hibell | Kotier 7:30PM,,,,,,,Delta Sleep | Michael Cera Palin | Combat 7PM,,,,Abigayle Oakley | Lauren Frihauf | Alexa Wildish 7PM,,,,,,,,,,
6/10,Lord Huron | FIGHTMASTER 6PM,,,,,,,Royal & the Serpent | Siiickbrain 7PM,Claire Rosinkranz 7PM,Witch Club Satan | Patriarchy 8PM,,Worm | ARKWAVE | Chamber Mage7PM,,,,,,,,,,Death Angel | Vio-lence | Incite 6:30PM,,,,,,,,,,,,,,
6/11,Jon Bellion 7PM,Lord Huron | FightMaster 7:30PM,,,Metric | Broken Social Scene | Stars 5:30PM,Juvenile | 400 Degreez Band | Theycallhimap | Ray Reed | Trackyon music 8PM,,,,Haute & Freddy | Rubin Brothers 8PM,,Head Automatica | UHL 7PM,,Wraith | Witchtrap | The Black Moriah | Burial Oath 7PM,,,,The Talbott Brothers | Austin Mackay 7PM,,,Fancy Bits | Alysia Kraft | Christine Alice 8PM,Logan Ryan Band | Hayden Redwine 7PM,,The Alpine Pickers | Nowhere Dept. | Graham Butler 7Pm,,,,,,,Bitter Boxer | Good Magpie | Johnny Barnett 9PM,Smrtdeath | Fats'e | Lil Narnia | Yung Kell | Flowers For You | Popmonst3r  8PM,,,,
6/12,Paul Simon 8PM,,,Kid Cudi | Big Boi | Dot Da Genius | Chip Tha Ripper  5:30PM,,,,,,Sully | Aych | Shwilly | Starsearch 9PM,,,,Blankslate | Stepmom | The Galentines 8PM,"G-Space & Patches. w/ Test Kit, KiLO b2b Burnsun, Ancestyr, Saucy Feather 8Pm",Atlas Radio w/ MoonRadish | Vada 7PM,Morgan Mchugh | Abigael Elizabeth | Beau Askew 5PM   Sage Armstrong | JustQuinn | Nulif3 | Calvin Campbell 8PM,Palmyra | Kyle Szalay | Ian Mahan 7PM,,,,Dirty Kings | Deathride | Letters From The Sun 7PM,,"Co-Stanza w/ Barbara, Jalai + DJPEEPEE 7PM",,Questshun | Soneffs | Trash 8PM,Freddy Jones Band | Chris Stake 7PM,Playboy Manbaby | Colfax Speed Queen | Spaceman Bob 8PM,,May Be Fern and the Four O'Fern Showcase | Whysteria 7PM,Master Ferocious / Dust Beneath Dirt | Burn the Myth 9PM,"Ace Monroe, STIL RUNNIN, The Stephen Lear Band 8PM",,Fleetmac Wood 6PM,Shady Oaks | Sempar | Myriadd.F. | Dante Must Die 8PM,Mrs. Nezbitt | Colony COllapse | Pseudocrush 7PM
