,Red Rocks (AXS),Fiddlers Green (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,The Black Box
4/1,,,,,,Iyla 7PM,,Cass McCombs w/ Chris Cohen 8PM,,R.A.P. Ferreira | Pigeon John 7PM,,Mint Field | Wave Decay 7PM,,,,Buffalo Traffic Jam | John-Robert 7PM,Mose | Matia Kalli 7:15PM,,,West 22nd: The To Be of Not To Be TOur 7PM,Howling Giant | Insomniac | Hastronaut 7Pm,PRYVT | Yeonggi 7PM,,,Zero 9:36 | Elijah | Downswing 7PM,,,,,,,
4/2,,,,,The Wood Brothers | The Last Revel 8PM,,,,,OJ Da Juiceman 7PM,,Bob Sumner | The Gray Jays | Derek Dames OHL 7PM,"SHIFT Ft. Freddy Todd & Stylust w/ Comisar, Swomp 8PM",,Sprouted | Thug City | Underground Selekta | Lunexa | Equal.Eyez 7PM,Buffalo Traffic Jam | John-Robert 7PM,Desert Dwellers | Mindex | Nyrus 8PM,,Tom Hamilton Band 8PM,Subhumans | The Venomous Pinks | Cheap Perfume 7PM,,Arthur CT. | Bones Of Life | Jackson Cloud 7PM,,Field Theory | Light Technics | Space Chatter 7:30PM,,,,,,,,
4/3,INZO | What SO Not | Lumasi | Daggz | Common Creation | Spenny 6PM,,,The Maine | Nightly | Grayscale | Franklin Jonas & The Bysantines 6:30PM,Yousuke Yukimatsu | Galcher Lustwerk | Lorely Mur 8PM,JSTJR | Alyssa Jolee | Hartshorn 8PM,The Summer Set | Senses | Lindsay Ell | Good Boy Daisy 6PM,Voxtrot 8PM,,Onslaught | Warlord | Haunter 6PM,Orbit Culture | Ov Sulfur | Atlas 8PM,Birdee | Funk Hunk 8Pm,"Alix Perez w/ Monty, Visages, Despise B2B ShoeBox 8PM",Tom Hamilton | River Spell 7PM,Wampus Cat | Third Turn | Sunkissd 5Pm,May Be Fern | Queen Frog | Sexy Coyote 7PM,West 22nd | Huck N House | Dipsea Flower 8PM,Shakedown Street | Jake Wolf 8Pm,Magoo | Friendly Reminders 8PM,OhGeesy 8PM,SUBHUMANS | La Pobreska | Cheap Perfume 7PM,Caroline Jones | Alyssa Bonagura 7PM,My Life With The Thrill Kill Kult 7PM,DOOM SLUG | The Slushies | Jaguar Stevens 7PM,The Iron Maidens | Cryptic Writings | Nativity In Black 8Pm,Solar Garlic | Bicycle Day | Nikki Z. & The Vizzion 7PM,,,,,,
4/4,It's Murph | D.O.D | oskar med k | me n u 8PM,,,Jaenga | Josh Teed | Pretty Sweet | Auracle | Wesley Mack 8PM,Mindchatter | Aka Vinnie | RumTum | Familiar Faces 9Pm,Currents | Erra | Caskets | Aviana 5:30PM,,Magoo | Deer Creek Sharp Shooters 7:45PM,,Sarah Kinsley | girlpuppy 7PM,,Black Ink: A Mo'Print Fundraiser 6PM,"Everyone Orchestra ft. Matt Butler, Holly Bowling, Kanika Moore, Cody Dickinson, Luke Black & More w/ The Sonic Souls 7PM",Duality | IIES | Manali | Mayor Grey | Terrawave 7PM,Oxidize | Storm Fatality | Rayonnant | Hotile Effect 3Pm,Skullcrusher | H.Pruz | Look At Fiona 7PM,,,Desert Dwellers | Mindex | Nyrus 8PM,My Life with the Thrill Kill Kult | Light Asylum | Die Sexual | Devora | Heavy Halo 6PM,,Meldrop | Lavalove | Experimental Brunch 7PM,,Moolight Bloom | Rugburn | Infinite Cousins 8PM,The Samples | Message in a Bottle 8PM,Grey Matter Circus + Mr. Atomic + Pretty Tied Up (Guns N Roses tribute) 7PM,,,,,,
4/5,,,,,,,,Koffin Kats | Carrie Nation and the Speakeasy 8PM,,,,,,,Kieran Macri | Cassidy Lugo | Grady Mathison | Fiona Liv 4Pm,Carly Cosgrove | Leisure Hour | Summerbruise 7PM,,,Ohgeesy 9PM,Magnolia Park 6:30PM,,Marissa Nadler | Anand Wilder (of Yeasayer) 7PM,,,Raven | Slackjaw | Nightwraith | Viperwitch 7PM,,,,,,,
4/6,,,Raye w/ Amma + Absolutely 6:30PM,,,Drain | Secret World | No Pressure | Haywire 617 6PM,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7,,,,Microwave | Anthony Green | Hunny | Pure Hex 7PM,Lany | Elio | Kairo 7:30PM,Dave | KDJ Above 7PM,,The Red Pears | Together Pangea | The High Curbs 8Pm,,,,Sex Mex | Gunk! | Salt 7PM,,,Rochelle Jordan 7PM,Miles Minnick | Tommy Zuko 7PM,,Pat Metheny Side-Eye III+ 8PM,,Koffin Kats | Carrie Nation & the Speakeasy | Diskount Vodka 7PM,Worry Club | Edgehill | bugsy 6:30PM,,Crowbar | Eyehategod |  Bl'ast | Messiahvore 6:30PM,The Lolly Bombs | Big Pinch 8PM,,,,,,,,
4/8,John Summit 7PM,,,Goldford | Rett Madison 8:30PM,Health X Carpenter Brut | Desire 8PM,,,Ritt Momney | Mercury  8PM,,,,Saintseneca | Gladie | Anika Pyle 7PM,,Jarv & RDGLDGRN w/ Damn Skippy | Old Man Saxon 7PM,,,Other Brothers (Allman Brothes Tribute) | Bill McKay  8PM,,,,Qual | CURSING | eHpH  7PM,,,Ricky | Gila Teen | Bad Year 8PM,,Homeboy Sandman | Coolzey | Babah Fly | An Hobbes 8Pm,,,,,,
4/9,,,,,,Lily Rose | Jake Banfield 7PM,,,,,,Past Self | Porcelain Horses 7PM,Mustache Bash 2026 ft. Ship Wreck 9Pm,Tyler Grant's Bluegrass Farm | Tray Wellington Band 7PM,Dirtysnatcha | kotrax | Droptalk | Barooka 7PM,Vince Herman & Silas Herman | Andy THorn  7PM,Words of Mouth | Sempar | Squash 8PM,Branford Marsalis Quartet 8PM,Abunto | Rosebay | Stateline 8PM,"Bit Brigade Performs ""Mega Man X"" LIVE 6:30PM",Girl In A Coma | Skating Polly | Soy Celeste 7PM,Al Olender | Ahna Ell  7PM,ZOSO 8PM,,,,,,Total Flower Chaos 9Pm,"Cascadel (Formerly The Dead & Down), Stephen Lear, The Street Deacons 8PM","Sulfuric Cautery,  Raw Addict,  Berated,  Pig Splitter,  Smear Campaign  7PM",
4/10,Zingara | Level Up | Saka | SubDocta | Slang Dogs 6PM,,,,The Format | Phantom | Limbeck 6:50PM,Freddie Dredd | Germ | Cursed 7PM,Perpetual Groove 7PM,The Nude Party | Tobacco City | D.B. Trooper 9PM,,Des Rocks | Romes | King Falcon 7PM,Lexa Gates 7:30PM,Alana Mars | Sister Neopolitan 8PM,The Motet | Ghost-Note | Photon 7PM,Space Bacon | Rado 7PM,The Picture Tour w/ OWOSSO + Part Weapon 5PM,Vince Herman & Silas Herman | Andy THorn  7PM,Lily Rose | Jake banfield | Grayson Ratliff 7:30PM,,Ballyhoo! | Russ Baum 8PM,The Guise Of A Demon 6PM,Kyle SMith | Amp Melo 7PM,Patema | Lightstory | Voidatlas | Angels In Electric Chairs 7pm ,Piter Albeiro 8PM,Dead Boyfriend | Look At Fiona | Tassles 8PM,Wake Me | Blue Mesa | Spitting Image | Electric Condor 7PM,Stylie | BetaRay | Irie Echos 7PM,Tommy Emmanuel 7:30PM,Stone's Throw + Talkbox 8PM,Arthur S and the Effects 9PM,"Keddjra, Areymá, Katrina Leibee, Katie Overbey, Emma Martin 7:45PM","The Tewa,  Surprise Soup,  Shorts,  Bit Stream Bleed  7PM",
