,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
10/1,Beck | Diana Silvers 8PM,,,,Chance The Rapper 7PM,Tribal Seeds | Fortunate Youth | For Peace Band 7PM,Levity 8:30PM,Dying Fetus | Sanguisugabogg | Crowbar | Left to Suffer | Deterioration 5:30PM,,Devon Gilfillian | Jon Muq 8PM,Carin Leon 8PM,,,,"SHIFT Ft. tiedye ky w/ Potions, Lilah 8PM",,Roya 7PM,,,,,Bumpin Uglies | Artikal Sound System 7PM,,,,,,,,,,,Rez Metal with Soulfly | Project BC | Clay & Fire | Hell Throne 6Pm,,
10/2,Levity 6PM,,,Holy Priest 5PM,Cameron Whitcomb | Nep 7PM,Mico | Will Linley 8PM,,,,Michigander | Lighthearted 8PM,,[Overtonight] 7PM,Roger Clyne & The Peacemakers 9Pm,,Bumpin Uglies | Artikal Sound System | Ghost.Wav 6:30PM,RomancePlanet w/ Special Guests 7PM,,,Young and Dead 8PM,,,,,,,,,,,,Parrotfish | Junkyard Cat 8PM,,,Rachel Bochner | The “Sorry If It’s Selfish” Tour 8PM,
10/3,,,for KING + Country 6PM,,Tinlicker 7PM,Mind Enterprises 8PM,Hermanos Gutierrez | Y La Bamba 7PM,ADELA 7PM,,West 22nd | Where's West 9PM,,Chasing Abbey 8PM,Jane Remover | DazeGXD 7PM,,Diamond Saits | Huck.Jorris | Orenda 8PM,Water Tower | Good For Nothing Thunder Mountain Boys 7PM,Rules 8PM,BAILEN 7PM,,Built to Spill | Paul Schalda 8Pm,,,Buzz Kull | Kontravoid 7PM,,,,Strange Americans | Elka | Rene Moffatt 6:30PM,Carrie Nation and the Speakeasy 8PM,,,Summoner's Circle | IATT | Gravewitch 8PM,,,,
10/4,For King + Country 7PM,,,,,Mon Rovia | Sydney Rose | Sarah Julia 8PM,,,,Tricky 8PM,,Maro 7PM,,,,,,Elizabeth Nichols 7PM,,,,,,,,,,,Thee Phantom & THe Illharmonic Orchestra 8PM,,,,,,
10/5,,,,,,Earl Swatshirt | Mike | Harrison (Surf Gang) | Na-Kel Smith 7PM,,,Automatic | Donzii 7PM,,Rush 7:30PM,Archers | pinknoise | Versus Me | Wake Me 6PM,,Shiner | Criteria | Replica City 7PM,,,,Love Spells | Orca 7PM,,,,,,,,,,,,Fenwick & The Futures 7PM,,,,,
10/6,Big Thief | Iris DeMent 7:30PM,,,,,JPEGMAFIA | Redveil | Matt Proxy 7PM,,Boy Harsher | Choir Boy | Evanora Unlimited 7PM,Fightmaster 7PM,Militarie Gun | Softcult | Shady Nasty | Dazy 7PM,,Zolita 7PM,Candlebox | Sponge 7:30PM,,DON WEST 7PM,,Soda Blonde 7PM,Hot Flash Heat Wave | Carpool Tunnel 7PM,,,,Thousand Below | Acres | VCTMS | Lost In Separation 6PM,,,Buzzcocks 8PM,,,,Ryan Castro 8:30PM,,,,,,
10/7,Ella Langley | Kameron Marlowe | Gabriella Rose 7PM,,,,Loathe | Fleshwater | Prostitute 6PM,,,,,Porch Light 8PM,Rush 7:30PM,Leap 7PM,Scene Queen | Wargasm | Bailey Spinn 8PM,,,Juice 6Pm,,,,,,Weedeater | Zeke | Royal Thunder | Yes Ma'am 7PM,,,,,,,Las Alucines 8:30PM,,,,,,
10/8,PEEKABOO | FLAVA D | XaeboR | Jiqui 6PM,,,,,Iron & Wine | Ken Pomeroy 8PM,Madeon 9PM,Emei 7PM,,Carbon Leaf 8PM,Doja Cat 7:30PM,Edgehill 7PM,,,,,,Jai’Len Josey 7PM,,,,,,,,,,,Laura Ramoso 7:30PM,,,,,,
10/9,Jkyl & Hyde | Gentlemens Club | Oliverse | Cozy Kev 6PM,,Dwight Yoakam 7PM,,Arch Enemy | The Black Dahlia Murder | Septicflesh | Crypta | Thrown Into Exile 5PM,Sex Pistols | Frank Carter | Starcrawler 8:30PM,Paul Cauthen | Rootbeer RIchie & The Reveille | Tristin Trincado  8PM,Judah & the Lion 6:30PM,The Holdup | Cydeways | Dylan Reese 7PM,,,Pertinence 7PM,Holywatr | Mercury 8PM,,Start Making Sense (Talking Heads Tribute) w/ Free Whenever 7PM,Honey Hounds w/ Bonfire Dub | Gabe Mintz & The Sparrows 7PM,,The Jungle Giants 7PM,,,,,The Number Twelve Looks Like You | Kaonashi | Blind Equation 6PM,Jenna Raine | Zoe Levert 7PM,,,,,,,,,,,
10/10,Sara Landry | Pendulum | Supergloss | Lorely Mur 6PM,,,,Sleeping with Sirens | Rain City Drive 6PM,Jigitz | Killen 8PM,Snarky Puppy 8PM,Twiztid | buffalo_farm 7PM,Hotel Allan | Allan Rayman 7PM,Hans Williams 9PM,,gnash 7PM,49 Winchester | Landon Smith 8PM,Acid Mothers Temple | Magick Potion | night FIshing  8PM,,Octave Cat w/ Solar Circuit 7PM,,Ecca Vandal 7PM,,,,Elijah Scott 7PM,Opal In Sky | Levels | Mirrorcell 7PM,Wild Pink 7PM,,,Pink Fuzz | The Well 8PM,,,,Tim Butterly (Comedy) 6PM,,,,
