,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
9/1,An evening with Goose 7PM,,,,,,,,,,,,,,,,,,,,,,Anja Huwe | Plague Garden 7Pm,,,,Black Marble | Public Circuit | Hex Cassette 7PM,,,,,,,,,
9/2,Griz 5:30PM,Jack Johnson | Lake Street Drive 7:30PM,,,,,,Dogstar 7PM,,,BABYMETAL | Halestorm | Violent Vira 7:20PM,,,Soft Palms | BabyBaby4Ever | Smear 7Pm,,,,,,,,,,,,,,,,,,,,,,
9/3,Griz 5:30PM,Jack Johnson | Lake Street Drive 7:30PM,,,,,,,,Congress THe Band | Superstar | Sunkissd 8PM,,ILUKA 7PM,,Death Lens | Heart To Gold | Grave Secrets 7PM,"Night 0 Tributes to Steely Dan, Grateful Dead, Talking Heads, Jerry Garcia, Tyler Childers + PhanArt Vendor Market 4PM",,,,,,,,,,Sweet Pill | Deux Visages 8PM,,,,The Electric Light Orchestra Experience 7:30PM,,,,,,,
9/4,Mana 8:30PM,,,,,,Los Parras 8PM,,,,,,Have A Nice Life 8PM,,"LaMP ft. Russ Lawton, Scott Metzger, Ray Paczkowski 11PM",Magic Weens  ft. Members of Magic Beans & Friends 11PM,,,,,,The Browning | Deadlands | The Crimson Armada | Blind Equation 6Pm,,,,,,,Theresa Caputo 7:30PM,,,,,Black Joe Lewis | Shane Guerrette  6PM,,
9/5,Mana 8:30PM,,,,,Tynan | Beastboi. | DJ Khang | Wolfie | Tynan Emo Pop Punk set 8PM,Gareth Emery 9PM,,,"Christone ""KINGFISH"" Ingram 8PM",,Melt Banana 7PM,,The Serfs | Pink Lady Monster | The Clue | Plastik Mystik 7PM,The Phunk Sessions 11PM,Squeaky Feet – Phish Dick’s After Party 11PM,,,Black Flag 8Pm,,,Black Joe Lewis & the Honeybears 7PM,,Royale Lynn | Hollow Pact | Team Nonexistent 7PM,,Of The Orchard | Brittany Bridgewater & The Sparsk | Jack Campbell & The Headmess 8PM,,,Edith Marquez 8PM,,,,,Mo Lowda & the Humble | Packaging 6Pm,,
9/6,Gregory Alan Isakov w/ CO Symphony 8PM,,,,,,,,,Wade Forster | Danno Simpson 8PM,,,,,Flying Mojito Bros (Ballroom) & Jennifer Hartswick Band (Other Side) – Phish Dick’s After Party – DUAL VENUE 11PM,,,,,,,,,,,bosses | Summer Of Peril | Ratstallion 7:30PM,,,,,,Armed for Apocalypse 8PM,,,,
9/7,Gregory Alan Isakov w/ CO Symphony 8PM,,,,,,,,,,,,,,,,,,,,,,,,,J. Graves 7:30PM,,,,,,,,,,
9/8,Five Finger Death Punch | Cody Jinks | Eva Under Fire 6:45 PM,Squeeze | Adam Ant | Haircut 100 7PM,,,,,Masego 7PM,greek 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9,Cole Swindell | BlackHawk | Zach John King 6:30Pm,,,Godsmack | Stone Temple Pilots | Doroth 6PM,,,,,,Joshua Ray Walker | Fabrizio 8PM,,Mustard Service | Pity Party (Girls Club) | Manwolves | Chican Mosh 7PM,,The Obsessed | Hippie Death Cult 7PM,Brenn! 6PM,,Mini Trees | Coral Grief 7PM,Ward Davis | Ben Garcia 7PM,,Molchat Doma 8PM,,,,,All Shall Perish | Carnifex | Extermination | Dismemberment | Mauled 6:45PM,,,,LP 8PM,,,,,,aWannabe | Idle Freaks | Mouthful 7PM,
9/10,Sofi Tukker 7PM,Riley Green | Randy Houser  Kashus Culpepper | Hannah McFarland 6:30PM,,,,,,Loe Shimmy 8Pm,,The Yawpers | The Crooked Rugs | Chroma Lips 8PM,,,,Moon Destroys | Green Druid | Palehorse/Palerider 7PM,,The Gringos | The John Wood Band 7PM,,Center Mid 7PM,,,,,,,,,,,,,,Amy Martin | Autumn Nicholas | Bonnie & The Mere Mortals | Sarah Adams 7:30PM,,,,
