,Red Rocks (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Ford Amphitheater,Fiddlers Green (AXS)
3/1,,,All Them Witches | King Buffalo 8PM,Dropkick Murphys | The Aggrolites | Haywire 7PM,,,,,Mat Kerekes' w/ Shallow Alcove + Beeson 7PM,,Red McAdam | Zara Alexandra | Jake Luna 7PM,,,The Curtis Brothers Band | Drone Rodeo | Baerd & the Beat | Hakken Krax Howl 4PM,Prism Break | Jawa | Paper Moon Conspiracy 4PM,,The Devil Makes Three | Lightnin' Luke 8PM,,,,Gigabull | Bronto | Witch Baby 4PM,,Mercy Club | Nowhere Department | Max Seidman 6PM,,Apes of the State | Rent Strike | Fables of the Fall 7PM,,
3/2,,,,,,,,,,,Nuovo Testamento | Dark Chisme | Noveli 7PM,,,,,,,,,,,,sufferplenty | 6host | Lastwxrds | Ghstgrl | Yung Kell | Flowers For You | Neverxhappy 7PM,,,,
3/3,,,,Artemas w/ Henry Morris | Ella Boh 8PM,,Sips & Strings w/ The Colorado Symphony 6PM,Alex Sampson | Maryjo | Rikki Lumi 8PM,,,,,,Jordan Ward | Dende 7PM,,The Technicolors | Veux 7PM,,3OH!3 8PM,,,,,,Sparrow Blue | Mike Morrow | Bathing Lagoon 7PM,,,,
3/4,,,,,,Winston Surfshirt | Dzirae Gold 7PM,,,Capstan | In Her Own Words | Dreamwake 6PM,Margo Price | Shannon Mcnally 8PM,,,Sam Greenfield w/ Button Masher 7PM,,Carter Faith | Meels 7PM,,Yacht Rock Revue 8PM,,,,Dan Kelly | Cas Hale | Kevin Kinsella | John Landry | Ike Kanakanaui 7PM,,,,,,
3/5,,Miguel | Jean Dawson 7PM,,,Colony House | mercury 7PM,,The Mirror Touch | Notions | Catsclaw | Talons 7PM,,,,,Cotter Ellis of Goose | Cycles 7PM,"SHIFT Ft. Quite Possibly w/ Special Guest Murkury (Vinyl Set), Spella, DimethylDreamz 8PM",Last Heroes | Devin Riggins | Nikita Page | Brave The Storm | Ian Campbell 7PM,Logan MIchael | Tim Meegan JR. & THe 105's 7PM,Daft Disko (french House & disco party) 8PM,,Mac Miller LIve Band Tribute 8PM,,,Discount Local | Green Scheme | The Lonely MTS 7PM,,The Crooked Rugs | Wave Decay | Plastic Mystic 8PM,,,,
3/6,,,Bolo | Sonrizas | Edwing Viviescas 9PM,Black Label Society | Zakk Sabbath | Dark Chappel 7:30PM,,VAMPA | THRASHA | CHOMP 8PM,Nitepunk | Chee | Silcrow | Rudashi 8PM,,Blue Mesa | Adolla 7PM,Earlybirds Club 6PM,Blackwater Holylight | Som | Dreadnought 8PM,"Motifv w/ 5am, SwuM, Sycamore Sound 8PM",Jay Lane | Aron Magner | Michael Travis | Giant Walking Robots 7PM,,Chasin Abbey | David Howley 7PM,,The Bad | Chris Potter | Craig Taborn 8PM,Colony House | Mercury | Desiderata 8PM,Nekrogoblikon | Enterprise Earth | Wretched 6:30PM,Ancient Colossal | It's Always Sunny In Tijuanna | Surrender The Ectype | Blood Across The Sky 8PM,Red40 | John F. Ketamine | Unknown Delta | Benched. 7PM,Jump - America's Van halen Experience 8PM,Mystee | Caspar Milquetoast | Handknit 8PM,,Skoki | Pseufocrush | Family Dogs | Josh Keith & The Rocky Mtn Rangers 7PM,,
3/7,,,Vandelux | Rules 9PM,,doodie | Andy Louis 7PM,,FIA | Box State 8PM,,,Benee | Bayli 8Pm,Blackwater Holylight | Som | Cronos Compulsion 8PM,Alexander Stewart | Natalie Jane 7PM,The Jauntee | Kendall Street Company |  Mynd Reader 7PM,3XCharm | Tinnitus | Curbside Anthem | Sonic Chick 3PM,Jamie Fine | Yan Yez 7PM,Easy Jim | Reid Genauer 8Pm,,,,Veil Of The Tomb | Cryptic Writings | Deny The Default | Natural Curse 8PM,Me Nd Adam – A Chain Reaction of Pointless Disasters Wild West Tour 8PM,Rumours - Fleetwood Mac Tribute 7:30PM,Joe Teichman | Noah Daniel | Dillon Hoocck 8PM,Shwarma | Flahoola | On The House 7PM,,,
3/8,,,,,Xaviersobased | ksuuvi | Backend 7PM,,Christian Loffler | Orbit 8PM,,,,,,UNTZ Is Dead 7PM,Crimson Deep | John Dillon | Qdells 4PM,Clinton Kane | Julian Ray 7PM,,,,,,Big Signal | Ian Mahan | Sam Bosch | The Yeah Dawgs 4PM,,Good Terms 6PM,,,,
3/9,,,,,Lil Tony 7PM,,,Cardi B 7:30Pm,The Browning | Within Destruction | Face Yourself | Dead Eyes 6PM,,,Redveil | Chenayder 7PM,,,,,,,Good Terms | Relate. | Tradition | Long/Last 6PM,,,,,,,,
3/10,,Lauren Spencer Smith | Sofia Camara | Maisy Kay 6:30PM,Filter | Finger Eleven | Local H 7:30PM,,Peaches w/ Cortisa Star 7PM,,,,,,,,,John Michael Howell | Late Night Thoughts 7PM,,,Chris Isaak 8PM,,,,,Frank Turner | The Sleeping Souls 8PM,Moondough 7PM,,Kill Lincoln | Jer | Bad Operation | Sorry Sweetheart 8PM,,
