,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,The Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,The Black Box
5/1,Two Friends | ARMNHMR | Leonidis 7PM,,,,Black Veil Brides | From Ashes To New | TX2 | As December Falls 5:30PM,Beauz | Madgrrl | Gano 9PM,,Sevendust | Atreyu | Fire From the Gods 6PM,Defunk | Beat Kitty | THug Shells  8PM,The Fretliners | Pert Near Sandstone 8PM,,,Witchz presents - Enter Afterlife 7:15PM,Abrams | Colfax Speed Queen | Rugburn 8PM,Forester Live | Me N U | Andrea Calabria 8PM,Louie Letdown | Mike Thunder | Cofresi | Riaht | Parrott 8PM,The Unsolved | Flahoola | Dead Pay Rent 5Pm,Peak 11 | Phase 30 | Sol Source | The Yeah Dawgs 7PM,Saxsquatch | Hyzenborg 8PM,Hail The Sun | Foxy Shazam | Lady Radiator | Resilia 8PM,Langhorne Slim | Laney Jones and the Spirits | Graveyard Choir 8PM,Lords of Acid | Princess Superstar | Tony and the Kiki | MZ Neon 6PM,Traitrs | Occults | Redwing Blackbird 7PM,Sam Blasucci w/ Sam Burton | Downey Chase 7PM,,,Los Mocochetes | Manny | Ritmo Cascabel 7PM,Vinyl Organs + My Wave + Lounge Fly 7PM,,Rachel is Kozi 8PM,The Stephen Lear Band / The Street Deacons / Paper Moon Conspiracy 9PM,"Atom Son Of Man, Sexy Coyote, Rat Von Rat 8PM",Moon Pussy | My Wifes An Angel | Peaceful | Garbage Body | Phlegm Spirit 7PM,,"MACHINEDRUM - BL00MS_TOUR 9:00 PM    UKG Proper - Colours: Faded Lazer w/ S2PS, cynapze, CB₁ 9:01 PM"
5/2,Jason Isbell and The 400 Unit | Gillian Welch | David Rawlings 7PM,,,,August Burns Red | The Amity Affliction | Boundaries | Heavensgate 5:30PM,Banjamin Tod | Colton Bowlin | Johno Leeroy 8PM,Jason Isbell & The 400 Unit 8PM,Rusko | Plastician | Joe Nice 7PM,Lipphead (Blockhead + Eliot Lipp) | Mux Mool 7PM,Langhorne Slim | Laney Jones and the spirits 8PM,,Glixen | Trauma Ray | KEEP | Money 6Pm,,Con Amor: DJ NOFVCE | Vikita | Nico Tobon 8PM,Saxsquatch w/ Hyzenborg 8PM,Phoebe Nix | Something Slight | Canyon Collective 7PM,EHIOROBO | Estephani | Mr. Knobs 4PM,Twen | Monsoon 7PM,Rumours: Fleetwood Mac Tribute w/ COlorado Springsteen 8PM,,,Glitter Porn | moth Season | Pseudocrush 7PM,DM101 - Depeche Mode Tribute w/ Substance - New Order Tribute 7Pm,Otis Kane | Becca Jay 7PM,,,,Chili Powder | Crash | The Throwbacks 7PM,,Vada & The Elliotts 8PM,The Midnight Soul Birds / Waiting for Dani / Jake Black 9Pm,The Midland Band | Dr Lunch | Blake Beitzel Band 8PM,TDI | Amish Drive-By | Suburban Nightmare 7PM,,"rSUN w/ Air Castles, Whereami., Radiant 9:00 PM    AnjunaFamily Colorado: Tantok, Lady Arys, Quiet Light, Sym3tr1x 9:01 PM"
5/3,Puscifer | Dave Hill 7:30Pm,,,,Bush | Mammoth | James and the Cold Gun 6PM,The Brook & The Bluff | Ethan Tasch 8PM,Mac Demarco | Mock Media 7:30PM,,,Zinadelphia | Camille Blackman 8PM,,,,,,,"Rat Brew w/ Nine Wide Sky, The Foundry + Tinnitus 4PM",Ashley Kutcher | Bellah Mae 7PM,,,,Saxsquatch | Hyzenborg 8PM,,The Toxhards | Boris & The Joy 7PM,Trio Los Panchos 5PM,,,,,Cassidy Lugo 6PM,,,"Kenmujo,  Tulpa,  Frog Teams,  Bronto 7PM",,
5/4,,,,,Joyce Manor | Militarie Gun | Combat | Teen Mortgage 6PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5,David Guetta | Miss Monique 8PM,,,,,,,La Dispute | From Indian Lakes | Flooding  6:30PM,,Melrose Avenue | Autumn Kings | Stray View 7:30PM,,,The New Pornographers | Will Sheff (of Okkervil River) 8PM,,,Swing Nights Lindy Jam 6PM,,Never Ending Fall | Capital Soiree 7PM,The Garcia Project 8PM,,,Emo Orchestra w/ The Spill Canvas 6PM,Master Boot Record | arottenbit 7PM,Jared Benjamin | Ryman Leon 7PM,,Sonic Dispatch | Dante Must Die | Curbside Anthem 8PM,,,,,,,,,Sub.mission Electronic Tuesdays: April Winner's Showcase Battle 8:00 PM
5/6,Bright Eyes | Ben Kweller 7PM,,,,,,The Midnight | New Constellations  9Pm,DaBaby | Zeddy Will | H3adband | Bri3 7PM,,Cut Worms | Angela Autumn 8PM,,,Emo Orchestra w/ The Spill Canvas | Greywind 8PM,,,Ollie Joseph & Matt Corman w/ J-Saus 7PM,Beach Vacation | Fruit Eyes 7PM,El Ten Eleven | Abandons 7PM,,,,,Kottonmouth Kings | A Killer's Confession | Kung Fu Vampire | Bleed The Vain 6Pm,Hollow Like Her | Buried In Lies | Reap The Haunted | Scars Over Graves 6Pm,,Western Wednesday ft. Jackie Staw and Derek Dames Ohl 7:30PM,,,Forever K-Pop - A Celebration Concert 7PM,,,,,,
5/7,Alejandro Fernandez | Camila Fernandez 8PM,,,,,Wage War | Nevertel | Orthodox 7PM,,Poison the Well | Converge | The Armed | The Barbarians of California 6PM,,Vana | Cloudyfield | Deadlands | Red Hook 7PM,,Faetooth | Latter | Nightosphere 7PM,,Levitation Room | Dumbo Gets Mad | The Crooked Rugs 7PM,,"SHIFT Ft. Gallium & Nyquist w/ RYNS, shLOp, Hericane, Big Nut Chuck 8PM",Blossm | SNDY | Jaspr | CD Project | Anya 7PM,Your Neighbors | VISION ARCADE 7PM,,,,,Mike Watt and the Missingmen | Slim | Maria de Cessna 8PM,Homestyle Dinner Rolls | 19 Miles Per Hour | Mr. Atomic 7PM,,Dynamo Klat | The Salesmen | Delica 7PM,Leftover Crack | HUman Issue | Spaceman Bob | Worht The Weight 8PM,,,CeCe Blackford & The B-Team 7:30PM,,,,,"Spoonbill w/ Inquuit, Jush 9:00 PM    Bass Package: DJ JT, Makon, Surprise Guest, Idunno 9:01 PM"
5/8,ALLEYCVT | Habstrakt | Tynan | Costa | Tazu 6PM,,,,,William Black | Reaper | Afinity | Cinema Kid 8PM,John Butler with Band 8PM,,,Shakedown Street 8PM,,Caroline Kingsbury | Bershy 7PM,Maye | Ambar Lucid | Judith 8PM,Cleaner | Team Nonexistent | Endorphins | No Luxury 8PM,,Other Brothers (Tribute to The Allman Brothers Band) w/ Creamery Station 7PM,,Jake Xerxes Fussell | Gion Davis 7PM,Tough Knuckle Teddy | Red Revival | Hunter Archer 8PM,,,Aweminus | Proxxxy 8PM,Mike Watt and the Missingmen  | Būddies 8PM,Sophia Stel | Macy and The Glass Band 7PM,Danae Hays 8PM,Quells | Pleasure Prince | Zoonido | Chamba | Woody Deville 7PM,Micah And The Mirrors | RMBLR | Solid State Radio | Blood Oath 8PM,Dear Luna + Atlas 31 + Pretty Princess Party + Landfill 6PM,,May Be Fern | Happy To Be Here 7Pm,Sweet Pork / The Gobies 9PM,,No Law | Indecisive | Caps Lock 7PM,,"Sub.mission presents: Medicine Place w/ Fossils, Aimerie 9:00 PM   Peter Vaughan & Company: Peter Vaughan, Ksteele, Enmeshed 9:01 PM"
5/9,Cloonee | KETTAMA | Omar+ | Cole Knight | MARO 7PM,,,,,Hostage SItuation | Wodd | SFAM | Big Blok 9PM,Vincent Antone & Manic Focus | Pheel. | Phyphr | Kaptain 7:30PM,,Supersillyus: Alive | Cualli | Digital Vagabond | Psybernautics 8Pm,Eldren | Pillow Fort | Lady Denim 8PM,,The Frickashinas | Bury Mia | The Killigans | Hostile Effect 7PM,,The Deslondes | Forest Ray | Billy and the Dreamboats | Kate Hannington 7PM,Best of Both Worlds Rave 9PM,Happy Landing w/ Lostboycrow 7PM,SRB w/ Borrowed Feathers + The Man is Dead 3PM     Kaleena Zanders | Pulse CTRL | Mean Firl | Pure Colors | Veeedub 8PM,King Tuff | Gabriel Bernini 7PM,,,,,Uada | Mortiis | Rome | Wraith Knight 6PM,Hunter James & The Titanic w/ Sturtz + Wood Belly String Band 7PM,U2 & Shinedown tributes 6:30PM,,The Black Queen | Holy Water | Reba Meyers 8PM,Soundsystem | American Idiot | Geek Usa 7PM,,The Pretty Shabbies + JACK (Omaha) + Anaideia | Soneffs 8PM,,303 BVBY | THAGODDESS | YFE | Kinju & More 8PM,,,COPYCATT (360° Set) 9:00 PM
5/10,Hippie Sabotage | Danny Brown | Kembe X 7PM,,,,,,,Cabaret Voltaire | I Speak Machine 7PM,,,,,,,,,,Terracotta | Jalai | Toucon 4PM,Unknown Mortal Orchestra | Sean Solomon 8PM,Alan Doyle with special guest Bandits on the Run 7PM,,,,Kat Goblin w/ Blaise Carpenter + Moonshake 4PM,,R.O. Shapiro | Madeleine Leigh | Brianna Straut 7:30PM,,,,,,,,,
