,Red Rocks (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,Paramount Theatre,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ
2/1,,,The Runarounds | The Back Alley 8PM,MaskedMania Lucha Libre Mexicana 7PM,Thomas Erak & the Ouroboros | Murals 6PM,,,,,,,,Great Blue Ft. Peter Anspach of Goose | Jewel House | Ruthie Bandit 7PM,Indignation | Fortnight | Donaven  | Bliss Wilder 4PM,,,,,,,,Bobby Guard | CHUCK | Andie Zuzarte | Skye Morriseau 4PM,,,,
2/2,,,,,,,,,,,Clementine Was RIght | Caspar Milquetoast | Al Ameda | Small Houses 7PM,,,,,,,,,,,,,,,
2/3,,,,,Jessie J 7PM,,,,Bravo the Bagchaser | Lil Maru | GMONEYDT 7PM,,,,,,,,,,,,,,,Hobbyist | Pet Traits | Reposer 7:30PM,,
2/4,,,,,Lord of the lost | The Birthday Massacre | Wednesday 13 6PM,,,,,,,,Matteo Mancuso 7PM,,,,,,,,,,,,,
2/5,,,Adventure Club 7PM,,,,Briscoe | Wells Ferarri 8PM,,,,Bunuel | Squid Pisser | Spiritual Poison | Almanac Man 7PM,,"Wake Up and Live – A Bob Marley Tribute w/ A-Mac & the Height, DJ Selekta Razja 7PM",The Broken Skyline | Prismatic Outset | Edamami 7PM,Flow Wolf | Native Space | Andy Wagner 7PM,Jane and Matthews | Tidepool | NU Bass Theory 8Pm,,Fort Collins Blues Revue 7PM,,Three Dog Night | Ambrosia | John Ford Coley 7PM,Skatenigs | Cruel Mourning | eHpH 7PM,Lani Watson | Katrina Leibee | Liliana Roccaforte 7PM,,Dry Mouth | Overtime Winner | Garden Party 7:30PM,,
2/6,,,,Adventure Club | Avello | Sabai 8PM,Gasolina Party 9PM,,Horse Bitch | Cheap Perfume | Gestalt 9PM,,Emo Night KAraoke 8PM,North Mississippi Allstars 8PM,Weakened Friends | Team Nonexistent | Queen Frog 8Pm,ProbCause w/ Defunk | RSRCH | CHMCLS | ZEAKR 8PM,Amnesiacs (Radiohead Tribute) Rally 'Round The Family (RATM Tribute) | Apostles of Fire (Black Sabbath) 7PM,AVELLO Pop Up w/ PapaJay + Covah 5PM,Tyler Bradford Wright | Kyj | Watson Is Real 7PM,Jerro | LuKo | siixnights 8PM,Stella Cole with the Boulder Philharmonic 7PM,The Ocean Blue with Brian Tighe (of The Hang Ups) | Mineral King 8PM,"The Riff Rag Presents: A Mixtape Session w/ No Amnesty, Nectar, Lamb Bed & Diskount Vodka 7PM",Justin Willman 7PM,The Emo Night Tour 8PM,Olivia Barton | Bridey Costello | Finn O'Sullivan 7PM,Judge Roughneck | Reptiles & Samurai 8PM,Mon Cher | Claruin 8PM,,Hash Bong | Slingfist | King Crawdad 7PM
2/7,,,Del Water Gap | Hannah Jadagu 7:30PM,Chris Lorenzo | San Pacho | Marco Strous 9PM,YDG | The Resistance | Costa 8PM,"Nikita, the Wicked | Tej | PANDO! 8PM",,,Fresh Fruit! | Mystee | Supermoon 7PM,,Babybaby4Ever | Pleasure Prince | Xenon Thief | DJ WNGDU 7PM,Big Richard & Della Mae 7PM,Venna w/ +Ultra | Adro Who 7PM,Garden District | The Midnight Soulbirds | Waiting For Dani 4Pm,,The Ocean Blue | Brian Tighe of The Hang Ups 8PM,Shakedown Street 8PM,Jerro | CHIEF OJIH | DanDan 8PM,The Emo Night Tour 8PM,James Acaster 8PM,Starfarer | Jacket. | Kosmonic 7PM,The Backlash | Soneffs | Aratik 2PM Munly & The Lupercalians | Deth Rali | 1000 Times | Family Dogs 8PM,Yachy Got Back 8PM,Bonnie Cash | Moorea Masa & The Mood | Sophia Eliana 7:30Pm,"Tributes to Paramore, Deftones, and Garbage 6PM",Sideways Seven | Buckshot Creek | David Swift 7PM
2/8,,,,,,,,,,,,,,,,,,,,,,,,Pseudocrush | Halies Ghost | Nowhere Dept. | HOWRU? 7PM,,
2/9,,,,,,,,,,,,,,,,Say She She | Katzù Oso 8PM,,,,,,,,,,
2/10,,Jade 7PM,,,,,Enjambre 8PM,,Left To Suffer | Fr3ak | The Last Ten Seconds of Life 6PM,Sudan Archives | Suhreetah 8PM,,,,,,,The Revivalists 8PM,,,,,,,,,
2/11,,,,,Michael Shannon & Jason Narducy and Friends Play R.E.M. 7PM,,,,,,,,,,,,,,,,,,,Brandywine | Backhouse | Vinyl Organs 7:30PM,,
2/12,,Snow Strippers | EERA | EvilGiane 7PM,,,,,Jeris Johnson | Butcher Babies | Eva Under Fire | Lylvc 8PM,,,,Palehorse/Palerider | Glass Human | Bleakheart 7PM,Ghostface Killah w/ Stay Tuned | Lane-O | Trackyon Music | Mitchell James 7PM,Shift ft. Entangled Mind | Dillard | Pailiaq | Quartzzion 8PM,Machaki | Thresh | Jadom | Titanz 7PM,Lowdown Brass Band | Yak Attack | Frogboat 7PM,The Galentines | Squash | Desiderata 8PM,,The Record Company | Jontavious Willis 8PM,,Nick Offerman 7:30PM & 10PM,,Zealot | Ripcords | Jumpin At Shadows 7PM,,Sibyl Vane | Hazels | Judith Hindle | Mantisgrove 7PM,Arkona | Helsott | WarCrown | Hel Hath Fury 7PM,
2/13,,Dark Star Orchestra 7PM,Magic City Hippies | Supertaste 9PM,The Martinez Brothers | Wakyin | Two S 9PM,Colors Presents R&B Only 8PM,Danceportation 9:30PM,Rossy 9PM,,Yung Bans | Hezzo | Sheed Dicaprio 8PM,Sons of Legion 9PM,Plastik Mystik | Cherry Spit | Pale Sun | Soneffs 7Pm,"Taiki Nulight w/ Casey Club, Untitld, LYQD – 360 IN THE ROUND 8PM",Daniel Rodriguez w/ LVDY 7PM,Best of Both Worlds | The Temper Tantrums | Tiny Ghosts 5PM,Stil Runnin | The Pretty Shabbies | Gangstead | Stationery Shop 7PM,,The Record Company | Jontavious Willis 7:30PM,,,MANIA: The ABBA Tribute 7:30PM,Darconigan | The Rising Plague | Cruxvae 7PM,Dr Lunch | Brittany Bridgewater & The Sparks | Occam's Rose | Jack Campbell & The Head Mess 7PM,Emo Kids 8PM,Rootbeer Richie & THe Reveille present: Mambo pre-party ft. Shadow Work | Flutter | Jaguar Stevens 7PM,,Royale with Cheese | Winter Wolves | Flannel Sheets | Medium Serious 7PM
