,Red Rocks (AXS),Fiddlers Green (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Paramount Theatre,Moe's BBQ,The Black Buzzard,Ford Amphitheater,7th Circle Music Collective
12/1,,,,Whitechapel | Chelsea Grin | The Acacia Strain | Netherwalker 7PM,,,,The Bad Plus 8Pm,,,,,,,,Father of Peace 7PM,,,,,,,,,As I Lay Dying 7PM,,,,,
12/2,,,,,,,,Chrissy Chlapecka 8PM,Gracie Abrams 8Pm,,AJ Mclean 7:30PM,,,Yaelokre w/ Ben Caplan 7PM,,,,,,As I Lay Dying 7PM,,,,,,,,,,
12/3,,,Imminence | Dying Wish | Gaerea 6PM,,,The Pineapple Thief 7PM,,,Gracie Abrams 8Pm,,,,"SHIFT Ft. Seth David’s R&Bass Tour w/ Special Guest Gardella, Schmux 8PM",,,Bryan Andrews | Lou Ridley 7PM,,,,,,,,,,,,,,
12/4,,,Suicidal Tendencies | Down ,Jai Wolf | Conrad. 9PM,Boogie T | Cyclops | Stoned Level | Shosh | Underground Selekta 8PM,,,Willi Carlisle 8PM,,Oliver Hazard 7PM,Tiny Habits | Marie Dresselhuis 8PM,,,Magoo 7PM,,,,,,,,,,,,,,,,
12/5,,,Suicidal Tendencies | Down ,Magoo | Arkansauce 7:30Pm,,,,,,,Pokey Lafarge | Cicada Rhythm 8PM,,,,,,,,,,,,,,,,,,,
12/6,,,Fetty Wap 7PM,,,,,The Wooten Brothers 7PM,,,Matt Hansen 7:30PM,,,,,,,,,,,,,,,,,,,
12/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8,,,DragonForce | Ensiferum | Rhapsody of Fire 6PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10,,,,,,,,,,,,,"BTTRFLY ft. Eric “Benny” Bloom, Dominic Lalli, Adam Deitch, Borahm Lee, Hunter Roberts 7PM",,,,,,,,,,,,,,,,,
12/11,,,,Dennett 8PM,Nimino 9PM,,,,,,,,,,,,,,,,,,,,,,,,,
12/12,,,Beartooth | Don Broco | Magnolia Park | Windwaker 5PM,,LYNY | Nero | Rohaan | Lizzy Jane 8:30PM,Drop Dead Gorgeous | Lower Definition | Jamies Elsewhere 6PM,,,,,,,,,,,,,,,,,,,,,,,,
12/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17,,,,,Dexter and the Moonrocks 8PM,,,,,,,,,,,,,,,,,,,,,,,,,
12/18,,,Electronic Orchestra 8PM,Canabliss | Hershe | Tinykvt | Solfire | Evening Bass 8PM,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19,,,,Buffalo Traffic Jam 8PM,Ahee | Eliminate | Mport 8PM,,,,,Drag the River 7PM,,,,,,,,,,,,,,,,,,,,
12/20,,,,Buffalo Traffic Jam 8PM,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31,,,,,,,,,,,,,,,,,,,,,,,Face To Face 8:30PM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,,3295 s broadway,1624 market st,95 spectrum lp,2935 w 7th ave
