,Red Rocks (AXS),Fiddlers Green (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,The Black Buzzard,Ford Amphitheater,7th Circle Music Collective
11/1,Yandel 8PM,,,Basement | High Vis | Big Boy | First Day Back 7PM,,,,,Teddy Swims | Freak Freely 7PM,,Everclear | American Hi-Fi 8Pm,,,,,,,,,Ho99o9 & N8NOFACE – Sincerely___ The Void 7PM,,,,,Metalachi | Los Mocochetes 7PM,,Mon Laferte 8PM,,,,
11/2,,,Periphery | Ne Obliviscaris | Greyhaven | Ando San 5PM,,Brand New 8PM,,,Austin Giorgio 8PM,,,Thee Sinseers | The Charities 8PM,,,,,,,,,,,,,,,,The Billy Joel Legacy Tribute 7PM,,,,
11/3,,,Knocked Loose | Denzel Curry | Superheaven | Boundaries 5:30PM,,,Ax and the Hatchetment 7PM,,,,The Wldlfe 7PM,,,,Lilyisthatyou | James The Seventh 7PM,,,,,,Agriculture | Uniform | Pure Hex 7PM,,,,,,,PJ Morton 8PM,,,,
11/4,Joshua Slone | Jake Minch 7:30PM,,,,,,,The Band of Heathens | Donavon Frankenreiter 8PM,,,,,RØZ Presents: SE ESTA HACIENDO TARDE 8PM,,,Francis of Delirium 7PM,,,,,,,,,,,,,,,
11/5,,,,,,,,The War and Treaty 8PM,,The Hails 7PM,,,Parra For Cuva 7PM,,,,,,,,,Maris 7PM,,,,,,,,,
11/6,Dabin 6:30PM,,Restricted 8PM,Mary Droppinz 8PM,Houndmouth | Dogpark 8PM,L7 7PM,,Jammy Buffet 8Pm,,Great Lake Swimmers 7PM,,,Daniel Donato’s Cosmic Country 7PM,,,Katie Pruitt 7PM,,,,,,,,,,,Grupo Duelo 8PM,,,,
11/7,Atliens 6PM,,6LACK | Eem Triplin 7PM,,Daniel Donato's Cosmic Country 8PM,,,,,,Tank and The Bangas | Ariel J. 8PM,,,,,The Cactus Blossoms | Margo Cilker 7PM,,,,Slothrust 7PM,,,Nekrogoblikon | Aborted | Signs of The Warm | Party Cannon 7PM,,Tool Tribute: Schism 25th Anniversary Party 7PM,,,,,,
11/8,Face Vocal Band 3:30PM,,,The Damned | Agent Orange | The Couretes 7:30PM,,,,strongboi | Salami Rose Joe Louis 9Pm,,,"Slothrust | Um, Jennifer 8PM",,,Freedom Junction w/ The Violet Pines 7PM,,,,"John Scofield's “Electrospective” ft. Oteil Burbridge, Adam Deitch, Larry Goldings 8PM",,,,,,,Metal Church | Armored Saint | Livekill 6PM,,,,,,
11/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10,,,,,,,,Luke Kidgell 8PM,,Puma Blue 7Pm,Eivor 8PM,,Helado Negro and Reyna Tropical as “Helado Tropical” 7PM,,,Improvement Movement | Jalen Reyes 7PM,,,,,,,,,,,,,,,
11/11,,,Vince Staples 7PM,,,,,Bayonne 8PM,Three Days Grace | I Prevail | The Funeral Portrait 7Pm,,,,,,,,,,,,,,,,,,,,,,
11/12,Clipse & J.I.D | Samara Cyn 6PM,,,GWAR | Midnight | Mac Sabbath | Atomic Rule 7PM,,,Maddie Zahm | Oston 7PM,,,Agriculture | Uniform | Pure Hex 7PM,,,,,,,,,,,,,,,,,The Musical Box 7:30Pm,,,,
11/13,Gryffin | Oliver Heldens | AR/CO 6PM,,,,D.O.D 9PM,,INOHA | Buddah Trixie | Flight By Nothing 6:30PM,Bahamas | Sister Ray 8PM,,Armand Hammer 7PM,,,"Desert Dwellers w/ Entangled Mind, Māh Ze Tār, Living Light (Ballroom) + Great Dane w/ KiLO, Nyrus (Other Side) 8PM",,Token 5PM,,,,,,Gully Boys | Pollyanna | Team Nonexistant 7PM,,,,,,,,,,
11/14,MIke. | Stevie Daniels 5:30PM,,,"MPH - Denver, Forever 8PM",Smoakland | Tripp St. | OG Nixin | Hotbox | Pretty Sweet | Jilli | Liquid Smoak 9PM,Kurt Vile & the Violators | Twisted Teens 7PM,Dev Lemons 7PM,,,,,,,,Six Foot Blonde 5PM,,,,,INOHA | Buda Trixie | Fight By Nothing 6:30PM,,,Fear Factory | Darkest Hour | Brotality 7PM,Dave Hause and The Mermaid 7PM,,,,,,,
11/15,Mike. | Stevie Daniels 2:30PM,,,,The Living Tombstone 7PM,VIOLA | Ella Red | Weathers 6PM,,,,,The Black Angels | Ghostwoman 8PM,,,,Wax & DJ Hoppa 7PM,Squirrel Flower w/ Sour Widows 7PM,,,,Fear Factory | Darkest Hour | Brotality | Suicide Cages 6PM,,,,,,,Arcangel 8PM,,,,
11/16,,,,,,,,Headache 8PM,,,,,,,,,,,,,,,,,,,,,,,
11/17,,,,,,,,Violet Grohl 7PM,,,,,,,,,,,,"Wolf & Bear, Coletta, Origami Button 6:30PM",,,,,,,,,,,
11/18,,,,,,,,,,,,,,,,,,,,,"Ok, Goodnight | Snooze | Eve 7PM",,,,,,Scott Bradlee's Postmodern Jukebox 8PM,,,,
11/19,,,,,Bonobo 8PM,almost monday 7PM,Krooked Kings 7PM,,,,Russian Circles | Primitive Man 8PM,,,,,,,,,,,Jady | TJ Minor 7Pm,,,,,,,,,
11/20,,,,Avello 7PM,Level Up | Modal Notes | Blossom | Mythm | Ancestyr 9PM,Saosin | Silent Planet | Like Moths To Flames | Save Us 6PM,,"Goodnight, Texas 8PM",,Oct (On Company Time) 7PM,,Holy Wave 8PM,ONHELL w/ Special Guests 8PM,,,,Foy Vance 7PM,,,,,,Book Of Love | DJ Eli 8PM,Babe Haven 7PM,,,,,,,
11/21,,,Underoath | August Burns Red | Atreyu | As Cities Burn 5:30PM,,TVBOO | Doctor P | Twopercent b2b Ozztin | Chozen | Gallium 8PM,State Champs | Cartel | Taylor Acorn 6PM,,Karina Rykman 8PM,,Stephen Day 7PM,Foy Vance 7PM,,,,,,,,,,,Zauntee | Skema Boy 7PM,,,,,,,,,
11/22,,,,,,,,Jervis Campell 7PM,Journey 6PM,,,,,,,,,,,,A Killer's COnfession | Dizasterpiece | Dead Things 6Pm,,,,,,Outlander in Concert 7PM,,,,
11/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24,,,,,,,,,,,,,Jalen Ngonda w/ Brooke Combe 7PM,,,,,,,,,,,,,,,,,,
