,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
7/1,Treaty Oak Revival | William Clark Green | Gannon Fremin | CCREV 7PM,,,,,,,,The James Hunter Six | Brigitte Benson 8PM,JOsh Groban | Jennifer Hudson 8PM,,,,,,,Dylan Leblanc | Patrick Dethlefs 7PM,,,,,,,,Western Wednesday ft. Brigette Spinney and Sarah Minto-Sparks 7:30 (Free),,,,,,,,,,
7/2,Dead Rocks XII With Zeds Dead | Mary Droppinz | Sota | Neumonic | rSun | Marah 4:30PM,,Dierks Bently | Ricky Skaggs & Kentucky Thunder | Cole Goodwin 5:30PM,,,,Babyface Ray | 42 Dugg 7PM,,Hindley Street Country Club 7:30PM,,,,Modern Leisure | Angel Band | Caspar Milquetoast 7PM,,,"Savage w/ D:Form, Macefacekilla + Bimbofied 7PM",Alex Thoele | Mighty Holler | Booty & The Bead 7PM,,,,The Halluci Nation | Cherokee Social 7PM,,Vada & The Elliotts w/ Flail + Suburban Nightmare 7PM,,Gillian Grogan | Emma Rose 7:30PM,,Half Past Two | Sorry Sweetheart | The Swashbuckling Doctors 8PM,,,,,,,,
7/3,Deadrocks XII With Zeds Dead | Sippy | Baauer b2b Holly | Axel Boy | Hydraulic | Lumberjvck 5PM,,,,,,,,Dead Pioneers | Cleaner | Team NonExistent | I Am The Owl 8PM,,,,Suicide Cages | Church Fire | Seam Ripper | F-Ether 7PM,,,Volores w/ Milk N’ Fox + Them Heavy Stones 4:30PM,Paper Moon Conspiracy w/ Terminal Count + Buck 7PM,,,,Sunfish | Pastel Black | Nautiloid 7PM,Prophets TOmb | Pray Burner | Hopebound 7PM,"West of Fennario w/ Polysanto, Carlos and the Crew | Sid Williamson & THe Good Faith 7PM",,Valley Porno People | Jack Long | 2070 | Totem Pocket 7:30PM,,First Church of the Last Days | Satan Himself | Call Me Dragon 7Pm,,,The Stephen Lear Band / The Street Deacons | The Futons9PM,,SHOEGAZE - Strawberry Milk | Mr. knobs. Noyer 7PM,High Fade 6PM,Super 8 | 3XCharm | Discount Local 8PM,Start Today (LA) | The Sissy Boys | Hostile Takeover | Skarlet 6:30PM
7/4,Blues Traveler | Better Than Ezra | The Record Company 6PM,,Star-Spangled Symphony 5:30PM,,,Zeds Dead | Papajay 10 PM,,,,,,,,,,,,,,,,,,,LOve Mischief |  Jupiter Tea 8PM,,,,Freak Fest Sunfish | Split Persona | Shadow Work | Red Light Ritual | Overtime Winner 2PM-1AM,,,,Flobots | Espialle | DCI Tour 6Pm,,
7/5,Andrea Gibson ft. The COlorado Symphony | Megan Falley 7:30PM,,,,,,Rave Jesus 7PM,,,Don Toliver | SahBabii | SoFaygo | Chase B 7:30PM,,,,,,"Reason For Concern w/ Reapthehaunted, Frowntown Disco + Old Deer 4PM",Boxcar County w/ Nowhere Dept. + Saint Colfax 4PM,,,,,,Huck N’ Pray w/ Big Ol’ Pig + Blurred Radio 4PM,,The Disposable Icons | Mildew | Lonelyst4r | 6ix1een | Alejandra Meza 7PM,,,,Freak Fest Years Down | Sluggard | Electric Condor | Johnny Fig | Miser | Charles and the Oddity | The Stumbling Squire | Corsicana,,,,,,
7/6,Eric Church | Corey Kent 7:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7,Eric Church | 49 Winchester 7:30PM,,,,,,,,,,,,,,corto.alto w/ +Ultra 7PM,,,,,,,,Brotherkenzie | Dirt Buyer 7PM,LA Guns | Driven By Turmoil | Grind Cat Grind 8PM,,,,,,,,,,,
7/8,Eric Church | The Creekers 7:30PM,,,,,Streetlight Manifesto | AJJ 8PM,,,,,,,Kontusion | Ukko's Hammer | Rotting Earth 7PM,,Andrew Duhon | Holy Roller 7PM,,,,,,,Total Chaos | Noogy | Diskount Vodka | Lost Cause 7PM,,,,,,Jon Anderson & The Band Geeks 7:30PM,,,,,,,
7/9,Sam Barber | Waylon Wyatt | Wild Horses 7PM,,,,The Bouncing SOuls | The Suicide Machines | Death By Stereo | The Drowns 7PM,,,,Rattlesnake Milk | George Cessna 8PM,,,,Dustbowl Champion | Computer Kill | Night Ritualz 7PM,,,St. Mary | Snaxxx | Edamami | Viggy 7PM,"Bugs Frogs & Snakes w/ Tiny Humans, Frog Team + Willinghost 7PM",,,,,,Pagan Lust w/ To Be Astronauts + Splintered Autumn 7PM,,Replica City | Total Cult  | Glueman | Cleats 7:30PM,,,,,Brizia | Captain Larry LaRue | Demi God TEZUZ | That Sweet Release | Jake Black 9PM,Kat Hasty 8PM,,,,
7/10,The Avett Brothers | The Mountain Goats 7:30PM,,,,,Artifakts | Bricksquashmafia| Two Guys (Chez x Crawdad Sniper) | Curra | Weselects | Brownee 8PM,,,Rattlesnake Milk | Jake Luna & The Bad Weather 8PM,,Sincere Engineer | WAYS AWAY | Kali Masi 7PM,Futurebirds | Deloyd Elze 9PM,Bleakheart | Spiritual Poison | Mournful Ruin | El Welk 7PM,Delvon Lamarr Organ Trio | Typical Ghost 7PM,"The Pamlico Sound w/ Midnight Soulbirds, San Leandro 7PM","Judah Sloane w/ Gabi Marie, Maya Ogea + Lexi Faye 5PM Benson | Blinkr | P!nto 8PM",Fluorescents | Palettes | hellocentral 7PM,,,,,,Me Like Bees | Neon The Bishop | Peak 11 7PM,"The Jett Hearts, Hyndesight, and The Throwbacks (Tibute Bands) 7PM",Carmela | Machete Mouth | Pretty Loud | Summer Bedhead 7:30PM,Tributes to Bad Company & Led Zeppelin! w/ Rebel Souls | Ten Years Gone 6:30PM,Palomino | Wignall & moss | Nite Lite Vandals | Out of the Box | Bad Earth 7PM,,May Be Fern: Free Milk 7PM,Run For Shelter | Vashon Seed | Hope Bound 9PM,,,,Wic Whitney | Zach Lloyd 7PM,
